date,Winner,Runner-up,Tournament
21-06-1975,West Indies,Australia,Cricket World Cup
23-06-1979,West Indies,England,Cricket World Cup
25-06-1983,India,West Indies,Cricket World Cup
08-11-1987,Australia,England,Cricket World Cup
25-03-1992,Pakistan,England,Cricket World Cup
17-03-1996,Sri Lanka,Australia,Cricket World Cup
20-06-1999,Australia,Pakistan,Cricket World Cup
23-03-2003,Australia,India,Cricket World Cup
28-04-2007,Australia,Sri Lanka,Cricket World Cup
02-04-2011,India,Sri Lanka,Cricket World Cup
29-03-2015,Australia,New Zealand,Cricket World Cup
14-07-2019,England,New Zealand,Cricket World Cup
