Player,Country,Matches,Inns,Runs,Avg,Sr,4s,6s
Virat Kohli,India,9,9,594,99,88.52,55,7
Quinton de Kock,South Africa,9,9,591,65.67,109.24,57,21
Rachin Ravindra,New Zealand,9,9,565,70.62,108.45,52,17
Rohit Sharma,India,9,9,503,55.89,121.5,58,24
David Warner,Australia,9,9,499,55.44,105.5,48,20
Rassie van der Dussen,South Africa,9,9,442,55.25,88.58,39,8
Mitchell Marsh,Australia,8,8,426,60.86,109.51,42,20
Shreyas Iyer,India,9,9,421,70.17,106.58,32,16
Daryl Mitchell,New Zealand,9,8,418,59.71,110.58,39,15
Dawid Malan,England,9,9,404,44.89,101,50,9
